               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.036594,            0.034675,           0.0061475,             0.90437,             0.90638,             0.95797,             0.70303,            0.030355,            0.020362,           0.0025324,            0.006733,            0.006733,            0.006733
                 101,            0.035553,            0.036788,           0.0059274,             0.89567,             0.91626,             0.95144,             0.69551,            0.029814,            0.020219,            0.002565,              0.0067,              0.0067,              0.0067
                 102,            0.035942,            0.039847,           0.0061836,             0.88004,             0.92028,              0.9523,             0.69288,            0.030544,            0.020489,           0.0025612,            0.006667,            0.006667,            0.006667
                 103,            0.035374,            0.040124,           0.0055023,             0.87001,             0.92077,             0.95007,             0.68718,            0.030275,            0.020726,           0.0025384,            0.006634,            0.006634,            0.006634
                 104,            0.034003,            0.035904,           0.0053614,              0.8953,             0.92454,             0.95512,             0.70266,            0.029154,            0.020594,           0.0025345,            0.006601,            0.006601,            0.006601
                 105,            0.033869,            0.040872,           0.0057392,             0.90068,             0.90305,             0.95369,             0.70409,            0.028422,            0.020149,           0.0024792,            0.006568,            0.006568,            0.006568
                 106,            0.034099,            0.037697,           0.0051637,             0.89605,              0.9017,             0.95349,             0.70298,            0.030039,             0.02033,            0.002439,            0.006535,            0.006535,            0.006535
                 107,            0.034684,            0.034684,           0.0057609,             0.91437,             0.88329,             0.95405,             0.70015,            0.030847,            0.020688,            0.002403,            0.006502,            0.006502,            0.006502
                 108,            0.034305,            0.037664,           0.0055701,             0.91061,             0.88581,             0.95524,             0.70632,            0.031009,            0.020704,           0.0023748,            0.006469,            0.006469,            0.006469
                 109,            0.036208,            0.040119,           0.0060487,             0.92644,             0.88258,             0.94969,             0.70826,            0.030086,            0.020436,           0.0023946,            0.006436,            0.006436,            0.006436
                 110,            0.034909,            0.040202,            0.005564,             0.91636,             0.89511,             0.94959,             0.69147,             0.02978,            0.020341,           0.0024105,            0.006403,            0.006403,            0.006403
                 111,            0.034944,            0.037418,           0.0045637,             0.90652,             0.88558,             0.95151,             0.70265,            0.030044,            0.020252,           0.0024272,             0.00637,             0.00637,             0.00637
                 112,            0.035194,             0.03891,           0.0056591,             0.90935,             0.89225,             0.95351,             0.70692,            0.029825,             0.02024,           0.0024385,            0.006337,            0.006337,            0.006337
                 113,            0.034794,            0.034827,           0.0061184,             0.90119,              0.8978,             0.95263,             0.71059,            0.028717,            0.019745,            0.002399,            0.006304,            0.006304,            0.006304
                 114,            0.034708,            0.036885,           0.0055396,             0.88694,             0.92543,             0.95587,             0.69749,            0.028358,            0.019687,           0.0024093,            0.006271,            0.006271,            0.006271
                 115,            0.035196,            0.037962,           0.0050951,              0.8726,             0.93814,             0.96065,             0.71468,            0.027802,            0.019337,           0.0024099,            0.006238,            0.006238,            0.006238
                 116,            0.034396,              0.0369,           0.0057397,             0.86605,             0.94402,             0.95905,             0.70494,            0.028607,            0.019607,           0.0023873,            0.006205,            0.006205,            0.006205
                 117,            0.036416,            0.038411,           0.0057053,              0.8712,             0.93902,             0.95818,             0.70405,            0.028258,            0.019456,           0.0023476,            0.006172,            0.006172,            0.006172
