               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,             0.02759,            0.044035,           0.0056686,             0.94932,             0.93863,             0.96699,              0.7728,            0.021526,            0.023743,           0.0023555,            0.006865,            0.006865,            0.006865
                  97,            0.027441,            0.042484,           0.0053831,             0.96576,              0.9454,             0.97451,             0.77247,            0.021295,            0.023381,           0.0023763,            0.006832,            0.006832,            0.006832
                  98,            0.026545,            0.039475,           0.0054819,             0.95921,             0.93549,             0.96954,             0.76615,            0.021609,            0.023793,           0.0024006,            0.006799,            0.006799,            0.006799
                  99,            0.027289,            0.043862,           0.0055306,             0.96511,             0.93982,             0.96839,             0.77186,            0.021493,            0.023525,           0.0023536,            0.006766,            0.006766,            0.006766
                 100,            0.027578,            0.041053,           0.0052392,             0.95955,             0.93496,             0.96628,             0.77792,             0.02136,            0.023492,             0.00232,            0.006733,            0.006733,            0.006733
                 101,            0.027168,            0.042638,           0.0055353,             0.95467,             0.94291,             0.96929,             0.77575,            0.021305,            0.023341,           0.0023543,              0.0067,              0.0067,              0.0067
                 102,            0.026251,            0.042901,            0.005262,             0.96016,             0.93331,             0.97017,             0.79108,            0.020629,            0.023118,           0.0023119,            0.006667,            0.006667,            0.006667
                 103,            0.026481,            0.038019,           0.0050858,             0.96221,             0.92902,             0.97196,             0.78116,            0.021315,            0.023356,           0.0023063,            0.006634,            0.006634,            0.006634
                 104,              0.0273,            0.042202,           0.0056394,             0.95415,             0.93829,             0.97339,             0.78511,            0.020994,            0.023395,           0.0023879,            0.006601,            0.006601,            0.006601
                 105,            0.026565,            0.040015,             0.00527,             0.95447,             0.94357,             0.97568,             0.78976,            0.020587,            0.023192,             0.00236,            0.006568,            0.006568,            0.006568
                 106,            0.026739,            0.040864,           0.0055515,             0.95667,             0.94423,             0.97503,             0.79314,            0.020895,             0.02338,            0.002316,            0.006535,            0.006535,            0.006535
                 107,            0.026107,            0.040093,            0.005085,             0.95629,             0.94098,             0.97109,             0.78998,            0.020979,            0.022902,           0.0023574,            0.006502,            0.006502,            0.006502
                 108,            0.027064,            0.039011,           0.0053215,             0.96361,             0.94015,             0.97109,             0.79017,            0.020577,            0.022864,           0.0022932,            0.006469,            0.006469,            0.006469
                 109,             0.02689,            0.041821,           0.0051785,             0.95162,             0.94562,             0.97061,              0.7775,            0.020691,            0.023041,            0.002277,            0.006436,            0.006436,            0.006436
                 110,            0.026326,            0.039834,           0.0050735,             0.95815,             0.94026,             0.96912,             0.78299,            0.020525,            0.022991,           0.0022854,            0.006403,            0.006403,            0.006403
                 111,            0.026341,            0.039872,           0.0054212,             0.95715,             0.94245,             0.97139,             0.79121,            0.020376,            0.022586,           0.0022649,             0.00637,             0.00637,             0.00637
                 112,            0.026058,             0.04098,           0.0053128,              0.9605,             0.93957,             0.97109,             0.79914,             0.02007,            0.022509,           0.0022133,            0.006337,            0.006337,            0.006337
                 113,            0.026318,            0.041085,           0.0052128,              0.9598,             0.94653,              0.9748,             0.79109,            0.020186,             0.02274,           0.0022148,            0.006304,            0.006304,            0.006304
                 114,            0.026266,             0.04171,            0.005148,              0.9576,             0.94328,             0.97228,             0.77962,            0.021066,            0.023019,           0.0021996,            0.006271,            0.006271,            0.006271
                 115,            0.026268,            0.039678,            0.005259,              0.9617,             0.94157,             0.97226,             0.79286,             0.02041,            0.022498,           0.0022455,            0.006238,            0.006238,            0.006238
                 116,            0.026035,            0.038115,           0.0052519,             0.95696,             0.94649,             0.97336,             0.79088,             0.01998,            0.022314,            0.002262,            0.006205,            0.006205,            0.006205
                 117,            0.026029,            0.038764,           0.0053408,             0.95654,             0.93686,             0.97389,             0.78695,            0.020185,            0.022518,           0.0022532,            0.006172,            0.006172,            0.006172
                 118,             0.02609,            0.041159,           0.0051746,             0.95202,             0.94725,             0.97483,             0.78999,            0.020555,            0.022286,           0.0022306,            0.006139,            0.006139,            0.006139
                 119,            0.026617,             0.04062,           0.0050961,             0.95218,             0.94853,             0.97412,             0.80049,            0.020264,            0.022321,           0.0022167,            0.006106,            0.006106,            0.006106
                 120,            0.025649,            0.037818,           0.0050676,              0.9556,             0.95087,             0.97514,              0.7938,            0.020219,            0.022165,            0.002163,            0.006073,            0.006073,            0.006073
                 121,            0.026024,             0.03961,            0.005226,             0.96648,              0.9394,             0.97399,             0.79397,            0.019558,            0.021776,           0.0021587,             0.00604,             0.00604,             0.00604
                 122,            0.025274,             0.03832,           0.0050548,             0.95505,             0.94849,             0.97354,             0.79669,            0.019804,             0.02177,           0.0021298,            0.006007,            0.006007,            0.006007
                 123,             0.02525,              0.0398,           0.0046789,             0.96167,             0.94297,             0.97283,             0.80184,            0.019858,            0.021748,           0.0021369,            0.005974,            0.005974,            0.005974
                 124,            0.025271,            0.039134,           0.0050626,             0.96326,             0.93948,             0.97587,             0.80143,            0.019472,            0.021788,           0.0021623,            0.005941,            0.005941,            0.005941
                 125,            0.025114,            0.038601,           0.0050285,             0.95988,             0.94916,             0.97702,              0.7916,            0.019799,            0.021986,           0.0021121,            0.005908,            0.005908,            0.005908
                 126,            0.025813,             0.03951,           0.0049996,             0.95765,             0.94729,             0.97195,             0.79984,            0.019303,            0.021833,           0.0021059,            0.005875,            0.005875,            0.005875
                 127,            0.024736,            0.039465,           0.0048915,             0.96497,             0.95101,             0.97483,             0.80719,            0.019346,            0.021565,           0.0020935,            0.005842,            0.005842,            0.005842
                 128,            0.025723,            0.039077,            0.005346,             0.96314,             0.95094,             0.97762,             0.80425,            0.019468,            0.021739,           0.0021181,            0.005809,            0.005809,            0.005809
                 129,            0.024728,            0.038484,           0.0048251,               0.962,             0.94553,             0.97676,             0.80634,            0.019327,             0.02147,           0.0021314,            0.005776,            0.005776,            0.005776
                 130,            0.025309,            0.040001,           0.0048786,              0.9578,             0.94557,             0.97318,             0.80607,            0.019341,            0.021451,           0.0021217,            0.005743,            0.005743,            0.005743
                 131,            0.024946,             0.03848,           0.0048344,             0.95548,             0.95072,             0.97317,                0.81,            0.019381,            0.021527,           0.0021637,             0.00571,             0.00571,             0.00571
                 132,            0.025023,            0.037599,           0.0050634,             0.96618,             0.95807,             0.97844,             0.81617,            0.019417,            0.021475,           0.0021261,            0.005677,            0.005677,            0.005677
                 133,            0.025017,            0.037804,           0.0049708,               0.972,             0.95326,             0.97924,              0.8178,            0.019104,            0.021055,           0.0021035,            0.005644,            0.005644,            0.005644
                 134,            0.024647,            0.038441,           0.0048819,             0.96848,             0.95513,             0.98304,             0.81741,            0.019079,             0.02122,           0.0020854,            0.005611,            0.005611,            0.005611
                 135,            0.024879,             0.03917,           0.0048185,             0.96818,             0.95693,             0.98361,             0.81424,            0.018896,            0.021206,           0.0020926,            0.005578,            0.005578,            0.005578
                 136,            0.024692,            0.037871,           0.0047848,             0.96553,              0.9565,             0.97836,             0.80848,            0.019009,            0.021295,           0.0021238,            0.005545,            0.005545,            0.005545
                 137,            0.024637,            0.037103,            0.004698,             0.96233,              0.9564,             0.98116,             0.80445,            0.019036,            0.021152,           0.0020934,            0.005512,            0.005512,            0.005512
                 138,            0.024411,            0.035858,           0.0048146,              0.9746,             0.95225,             0.98399,             0.81746,            0.018868,            0.020884,           0.0020307,            0.005479,            0.005479,            0.005479
                 139,            0.024587,            0.036573,           0.0048106,             0.97228,             0.95327,             0.98115,             0.81485,            0.018955,            0.020996,           0.0020456,            0.005446,            0.005446,            0.005446
                 140,            0.024286,            0.036605,           0.0047187,             0.96041,             0.95929,             0.97801,             0.81081,             0.01909,            0.021021,           0.0020322,            0.005413,            0.005413,            0.005413
                 141,            0.024597,            0.037703,            0.004615,             0.96799,             0.94976,             0.97714,             0.81119,            0.019085,            0.021027,           0.0020133,             0.00538,             0.00538,             0.00538
                 142,            0.024607,            0.037103,           0.0051122,             0.96688,             0.95308,             0.97563,             0.81859,            0.018678,            0.020763,           0.0020523,            0.005347,            0.005347,            0.005347
                 143,            0.023999,            0.037319,           0.0048448,             0.96294,             0.94998,             0.97667,             0.82111,              0.0186,            0.020913,           0.0020518,            0.005314,            0.005314,            0.005314
                 144,            0.024192,            0.036492,           0.0049871,             0.96053,             0.94539,             0.97532,             0.81822,            0.018553,            0.020614,           0.0020263,            0.005281,            0.005281,            0.005281
                 145,            0.024289,            0.038171,           0.0048071,             0.96719,             0.95049,             0.98139,             0.82253,            0.018517,            0.020502,           0.0020376,            0.005248,            0.005248,            0.005248
                 146,            0.024047,            0.035698,           0.0045687,             0.97391,             0.95541,             0.98027,             0.82811,            0.018661,            0.020534,            0.002042,            0.005215,            0.005215,            0.005215
                 147,              0.0234,            0.037906,           0.0046124,             0.96782,             0.95433,             0.97895,             0.82953,            0.018473,            0.020511,           0.0020026,            0.005182,            0.005182,            0.005182
                 148,            0.023938,             0.03525,            0.004446,             0.97242,             0.94942,             0.97939,             0.82238,            0.018321,            0.020444,           0.0020061,            0.005149,            0.005149,            0.005149
                 149,             0.02364,            0.034842,           0.0045327,             0.97547,              0.9531,             0.98418,              0.8296,            0.018223,            0.020176,            0.001971,            0.005116,            0.005116,            0.005116
                 150,            0.023514,            0.034693,            0.004417,             0.96642,             0.95807,             0.98294,             0.82688,            0.018286,             0.02007,           0.0019552,            0.005083,            0.005083,            0.005083
                 151,            0.023717,            0.037262,           0.0045317,             0.96593,             0.95998,             0.98341,             0.82017,            0.018322,            0.020373,           0.0019646,             0.00505,             0.00505,             0.00505
                 152,            0.023973,            0.035858,           0.0050042,             0.96401,             0.96221,             0.98208,             0.82553,            0.018299,            0.020488,           0.0019923,            0.005017,            0.005017,            0.005017
                 153,            0.023285,            0.035967,            0.004501,              0.9659,              0.9574,             0.98146,             0.82762,             0.01837,            0.020533,           0.0019873,            0.004984,            0.004984,            0.004984
                 154,            0.023746,            0.035645,           0.0046483,             0.96722,              0.9606,              0.9814,             0.82925,            0.018236,            0.020327,           0.0019916,            0.004951,            0.004951,            0.004951
                 155,            0.023977,            0.035635,           0.0045458,             0.96356,             0.95582,             0.98044,             0.82943,            0.017995,            0.019993,           0.0020024,            0.004918,            0.004918,            0.004918
                 156,            0.024021,            0.036332,           0.0044095,             0.96238,             0.95899,             0.98047,             0.82678,            0.018026,            0.019989,            0.001987,            0.004885,            0.004885,            0.004885
                 157,             0.02384,            0.037663,           0.0046781,             0.97248,             0.95735,             0.98354,             0.83044,            0.017983,            0.020075,           0.0019692,            0.004852,            0.004852,            0.004852
